nohup: ignoring input
INFO:root:
CUDNN VERSION: 8500

INFO:root:Loading train dataset
INFO:root:Avaliable images: 60000
INFO:root:Running on 10000 images
INFO:root:building database...
PID:  2346548

  0%|          | 0/10000 [00:00<?, ?it/s]
  5%|5         | 519/10000 [00:00<00:01, 5188.62it/s]
 10%|#         | 1038/10000 [00:00<00:01, 5185.25it/s]
 16%|#5        | 1584/10000 [00:00<00:01, 5310.22it/s]
 21%|##1       | 2117/10000 [00:00<00:01, 5317.26it/s]
 27%|##6       | 2673/10000 [00:00<00:01, 5403.78it/s]
 32%|###2      | 3234/10000 [00:00<00:01, 5472.74it/s]
 38%|###7      | 3782/10000 [00:00<00:01, 5434.06it/s]
 43%|####3     | 4332/10000 [00:00<00:01, 5452.46it/s]
 49%|####8     | 4878/10000 [00:00<00:00, 5394.46it/s]
 54%|#####4    | 5418/10000 [00:01<00:01, 4343.87it/s]
 59%|#####9    | 5925/10000 [00:01<00:00, 4530.12it/s]
 65%|######4   | 6470/10000 [00:01<00:00, 4778.99it/s]
 70%|#######   | 7009/10000 [00:01<00:00, 4947.61it/s]
 75%|#######5  | 7540/10000 [00:01<00:00, 5047.98it/s]
 81%|########  | 8065/10000 [00:01<00:00, 5102.65it/s]
 86%|########5 | 8587/10000 [00:01<00:00, 5136.60it/s]
 91%|#########1| 9138/10000 [00:01<00:00, 5246.20it/s]
 97%|#########6| 9679/10000 [00:01<00:00, 5292.14it/s]
100%|##########| 10000/10000 [00:01<00:00, 5132.37it/s]
INFO:root:database build finish
INFO:root:Using MUNIT output from /mnt/raid/home/eyal_michaeli/git/imaginaire/logs/2023_0421_1405_28_ampO1_lower_LR/inference_cp_400k_style_std_1.5_on_new_10k/
INFO:root:Loading validation dataset
INFO:root:Avaliable images: 10000
INFO:root:Running on 3300 images
INFO:root:building database...

  0%|          | 0/3300 [00:00<?, ?it/s]
 16%|#5        | 520/3300 [00:00<00:00, 5194.21it/s]
 32%|###2      | 1069/3300 [00:00<00:00, 5361.99it/s]
 49%|####8     | 1606/3300 [00:00<00:00, 5300.14it/s]
 66%|######6   | 2192/3300 [00:00<00:00, 5514.20it/s]
 83%|########3 | 2744/3300 [00:00<00:00, 5423.52it/s]
100%|#########9| 3287/3300 [00:00<00:00, 5412.31it/s]
100%|##########| 3300/3300 [00:00<00:00, 5392.93it/s]
INFO:root:database build finish
INFO:root:Not using MUNIT output
INFO:root:[Warning] Ignoring Error(s) in loading state_dict for HybridNetsBackbone:
	size mismatch for classifier.header.pointwise_conv.conv.weight: copying a param with shape torch.Size([9, 160, 1, 1]) from checkpoint, the shape in current model is torch.Size([36, 160, 1, 1]).
	size mismatch for classifier.header.pointwise_conv.conv.bias: copying a param with shape torch.Size([9]) from checkpoint, the shape in current model is torch.Size([36]).
INFO:root:[Warning] Don't panic if you see this, this might be because you load a pretrained weights with different number of classes. The rest of the weights should be loaded already.
INFO:root:[Info] Successfully!!!
INFO:root:Epoch 1/50

  0%|          | 0/625 [00:00<?, ?it/s]
  0%|          | 1/625 [00:21<3:45:29, 21.68s/it]
  0%|          | 2/625 [00:22<1:35:21,  9.18s/it]
  0%|          | 3/625 [00:22<53:15,  5.14s/it]  
  1%|          | 4/625 [00:22<33:44,  3.26s/it]
  1%|          | 5/625 [00:23<22:52,  2.21s/it]
  1%|          | 6/625 [00:23<16:12,  1.57s/it]
  1%|1         | 7/625 [00:23<12:01,  1.17s/it]
  1%|1         | 8/625 [00:24<09:12,  1.12it/s]
  1%|1         | 9/625 [00:24<07:22,  1.39it/s]
  2%|1         | 10/625 [00:24<06:16,  1.64it/s]
  2%|1         | 11/625 [00:25<05:53,  1.74it/s]
  2%|1         | 12/625 [00:25<05:19,  1.92it/s]
  2%|2         | 13/625 [00:26<04:46,  2.13it/s]
  2%|2         | 14/625 [00:26<04:25,  2.30it/s]
  2%|2         | 15/625 [00:26<04:07,  2.47it/s]
  3%|2         | 16/625 [00:27<04:04,  2.49it/s]
  3%|2         | 17/625 [00:27<04:15,  2.38it/s]
  3%|2         | 18/625 [00:28<04:06,  2.47it/s]
  3%|3         | 19/625 [00:28<04:03,  2.49it/s]
  3%|3         | 20/625 [00:28<03:59,  2.53it/s]
  3%|3         | 21/625 [00:29<04:08,  2.43it/s]
  4%|3         | 22/625 [00:29<04:04,  2.47it/s]
  4%|3         | 23/625 [00:29<03:57,  2.54it/s]
  4%|3         | 24/625 [00:30<03:54,  2.56it/s]
  4%|4         | 25/625 [00:30<03:43,  2.69it/s]
  4%|4         | 26/625 [00:31<03:55,  2.55it/s]
 16%|#6        | 100/625 [01:18<05:08,  1.70it/s]INFO:root:Step: 100. Epoch: 1/50. Iteration: 101/625. Cls loss: 2140.835. Reg loss: 3.446. Seg loss: 1.875. Total loss: 2146.156

 16%|#6        | 101/625 [01:18<04:25,  1.97it/s]
 16%|#6        | 102/625 [01:20<06:44,  1.29it/s]
 16%|#6        | 103/625 [01:20<05:40,  1.53it/s]
 17%|#6        | 104/625 [01:21<07:03,  1.23it/s]
 17%|#6        | 105/625 [01:22<05:57,  1.46it/s]
 17%|#6        | 106/625 [01:22<05:03,  1.71it/s]
 17%|#7        | 107/625 [01:23<06:18,  1.37it/s]
 17%|#7        | 108/625 [01:23<05:24,  1.59it/s]
 17%|#7        | 109/625 [01:24<04:48,  1.79it/s]
 18%|#7        | 110/625 [01:25<06:23,  1.34it/s]
 18%|#7        | 111/625 [01:26<05:40,  1.51it/s]
 18%|#7        | 112/625 [01:27<07:30,  1.14it/s]
 18%|#8        | 113/625 [01:27<06:23,  1.33it/s]
 18%|#8        | 114/625 [01:28<05:30,  1.54it/s]
 18%|#8        | 115/625 [01:28<04:44,  1.79it/s]
 19%|#8        | 116/625 [01:28<04:16,  1.98it/s]
 19%|#8        | 117/625 [01:29<03:54,  2.17it/s]
 19%|#8        | 118/625 [01:30<05:53,  1.43it/s]
 19%|#9        | 119/625 [01:31<05:18,  1.59it/s]
 19%|#9        | 120/625 [01:33<08:39,  1.03s/it]
 19%|#9        | 121/625 [01:33<07:03,  1.19it/s]
 20%|#9        | 122/625 [01:33<06:05,  1.37it/s]
 20%|#9        | 123/625 [01:34<05:23,  1.55it/s]
 20%|#9        | 124/625 [01:34<04:41,  1.78it/s]
 20%|##        | 125/625 [01:35<04:00,  2.08it/s]
 20%|##        | 126/625 [01:36<05:25,  1.53it/s]
 20%|##        | 127/625 [01:36<04:52,  1.70it/s]
 20%|##        | 128/625 [01:38<08:01,  1.03it/s]
 21%|##        | 129/625 [01:38<06:34,  1.26it/s]
 21%|##        | 130/625 [01:39<05:27,  1.51it/s]
 21%|##        | 131/625 [01:39<04:37,  1.78it/s]
 21%|##1       | 132/625 [01:39<04:21,  1.88it/s]
 21%|##1       | 133/625 [01:40<03:59,  2.05it/s]
 21%|##1       | 134/625 [01:41<04:51,  1.68it/s]
 22%|##1       | 135/625 [01:41<04:52,  1.68it/s]
 22%|##1       | 136/625 [01:43<07:57,  1.02it/s]
 22%|##1       | 137/625 [01:43<06:25,  1.27it/s]
 22%|##2       | 138/625 [01:44<05:16,  1.54it/s]
 22%|##2       | 139/625 [01:44<04:34,  1.77it/s]
 22%|##2       | 140/625 [01:45<04:34,  1.77it/s]
 23%|##2       | 141/625 [01:45<04:04,  1.98it/s]
 23%|##2       | 142/625 [01:46<04:42,  1.71it/s]
 23%|##2       | 143/625 [01:47<05:30,  1.46it/s]
 23%|##3       | 144/625 [01:49<08:06,  1.01s/it]
 23%|##3       | 145/625 [01:49<06:33,  1.22it/s]
 23%|##3       | 146/625 [01:49<05:25,  1.47it/s]
 24%|##3       | 147/625 [01:50<04:41,  1.70it/s]
 24%|##3       | 148/625 [01:50<04:23,  1.81it/s]
 24%|##3       | 149/625 [01:51<04:09,  1.91it/s]
 24%|##4       | 150/625 [01:51<04:35,  1.72it/s]
 24%|##4       | 151/625 [01:52<05:11,  1.52it/s]
 24%|##4       | 152/625 [01:54<07:19,  1.08it/s]
 24%|##4       | 153/625 [01:54<05:58,  1.32it/s]
 25%|##4       | 154/625 [01:54<05:16,  1.49it/s]
 25%|##4       | 155/625 [01:55<04:42,  1.66it/s]
 25%|##4       | 156/625 [01:56<04:46,  1.64it/s]
 25%|##5       | 157/625 [01:56<04:12,  1.85it/s]
 25%|##5       | 158/625 [01:57<04:23,  1.77it/s]
 25%|##5       | 159/625 [01:57<04:44,  1.64it/s]
 26%|##5       | 160/625 [01:59<07:40,  1.01it/s]
 26%|##5       | 161/625 [02:00<06:14,  1.24it/s]
 26%|##5       | 162/625 [02:00<05:14,  1.47it/s]
 26%|##6       | 163/625 [02:00<04:35,  1.68it/s]
 26%|##6       | 164/625 [02:01<04:52,  1.57it/s]
 26%|##6       | 165/625 [02:01<04:12,  1.82it/s]
 27%|##6       | 166/625 [02:02<03:49,  2.00it/s]
 27%|##6       | 167/625 [02:03<04:36,  1.66it/s]
 27%|##6       | 168/625 [02:05<07:44,  1.02s/it]
 27%|##7       | 169/625 [02:05<06:26,  1.18it/s]
 27%|##7       | 170/625 [02:05<05:20,  1.42it/s]
 27%|##7       | 171/625 [02:06<04:32,  1.67it/s]
 28%|##7       | 172/625 [02:06<04:25,  1.71it/s]
 28%|##7       | 173/625 [02:07<04:08,  1.82it/s]
 28%|##7       | 174/625 [02:07<03:57,  1.90it/s]
 28%|##8       | 175/625 [02:08<04:04,  1.84it/s]
 28%|##8       | 176/625 [02:10<06:49,  1.10it/s]
 28%|##8       | 177/625 [02:10<05:33,  1.34it/s]
 28%|##8       | 178/625 [02:10<04:56,  1.51it/s]
 29%|##8       | 179/625 [02:11<04:26,  1.68it/s]
 29%|##8       | 180/625 [02:11<04:24,  1.68it/s]
 29%|##8       | 181/625 [02:12<03:53,  1.90it/s]
 29%|##9       | 182/625 [02:13<04:15,  1.74it/s]
 29%|##9       | 183/625 [02:13<04:16,  1.72it/s]
 29%|##9       | 184/625 [02:15<07:25,  1.01s/it]
 30%|##9       | 185/625 [02:15<05:55,  1.24it/s]
 30%|##9       | 186/625 [02:16<04:52,  1.50it/s]
 30%|##9       | 187/625 [02:16<04:13,  1.73it/s]
 30%|###       | 188/625 [02:17<04:35,  1.59it/s]
 30%|###       | 189/625 [02:17<04:04,  1.78it/s]
 30%|###       | 190/625 [02:18<03:41,  1.96it/s]
 31%|###       | 191/625 [02:19<04:19,  1.67it/s]
 31%|###       | 192/625 [02:20<07:15,  1.00s/it]
 31%|###       | 193/625 [02:21<05:50,  1.23it/s]
 31%|###1      | 194/625 [02:21<05:00,  1.43it/s]
 31%|###1      | 195/625 [02:22<04:17,  1.67it/s]
 31%|###1      | 196/625 [02:22<04:18,  1.66it/s]
 32%|###1      | 197/625 [02:23<03:55,  1.82it/s]
 32%|###1      | 198/625 [02:23<03:40,  1.94it/s]
 32%|###1      | 199/625 [02:24<03:43,  1.91it/s]
 32%|###2      | 200/625 [02:26<06:47,  1.04it/s]INFO:root:Step: 200. Epoch: 1/50. Iteration: 201/625. Cls loss: 2472.550. Reg loss: 3.796. Seg loss: 1.794. Total loss: 2478.140

 32%|###2      | 201/625 [02:26<05:35,  1.26it/s]
 32%|###2      | 202/625 [02:26<04:42,  1.50it/s]
 32%|###2      | 203/625 [02:27<04:11,  1.68it/s]
 33%|###2      | 204/625 [02:28<04:57,  1.41it/s]
 33%|###2      | 205/625 [02:28<04:20,  1.61it/s]
 33%|###2      | 206/625 [02:29<03:50,  1.82it/s]
 33%|###3      | 207/625 [02:29<03:37,  1.92it/s]
 33%|###3      | 208/625 [02:31<06:27,  1.08it/s]
 33%|###3      | 209/625 [02:31<05:27,  1.27it/s]
 34%|###3      | 210/625 [02:32<04:39,  1.49it/s]
 34%|###3      | 211/625 [02:32<04:00,  1.72it/s]
 34%|###3      | 212/625 [02:33<05:23,  1.28it/s]
 34%|###4      | 213/625 [02:34<04:39,  1.48it/s]
 34%|###4      | 214/625 [02:34<03:56,  1.74it/s]
 34%|###4      | 215/625 [02:35<03:30,  1.95it/s]
 35%|###4      | 216/625 [02:36<05:48,  1.17it/s]
 35%|###4      | 217/625 [02:37<04:48,  1.41it/s]
 35%|###4      | 218/625 [02:37<04:03,  1.67it/s]
 35%|###5      | 219/625 [02:37<03:39,  1.85it/s]
 35%|###5      | 220/625 [02:39<05:14,  1.29it/s]
 35%|###5      | 221/625 [02:39<04:25,  1.52it/s]
 36%|###5      | 222/625 [02:39<03:58,  1.69it/s]
 36%|###5      | 223/625 [02:40<03:26,  1.95it/s]
 36%|###5      | 224/625 [02:41<05:41,  1.18it/s]
 36%|###6      | 225/625 [02:42<04:38,  1.43it/s]
 36%|###6      | 226/625 [02:42<03:55,  1.69it/s]
 36%|###6      | 227/625 [02:42<03:23,  1.96it/s]
 36%|###6      | 228/625 [02:44<05:35,  1.18it/s]
 37%|###6      | 229/625 [02:45<04:46,  1.38it/s]
 37%|###6      | 230/625 [02:45<04:07,  1.60it/s]
 37%|###6      | 231/625 [02:45<03:37,  1.81it/s]
 37%|###7      | 232/625 [02:47<05:32,  1.18it/s]
 37%|###7      | 233/625 [02:47<04:31,  1.44it/s]
 37%|###7      | 234/625 [02:48<03:55,  1.66it/s]
 38%|###7      | 235/625 [02:48<03:38,  1.78it/s]
 38%|###7      | 236/625 [02:49<04:54,  1.32it/s]
 38%|###7      | 237/625 [02:50<04:06,  1.58it/s]
 38%|###8      | 238/625 [02:50<03:41,  1.75it/s]
 38%|###8      | 239/625 [02:50<03:18,  1.95it/s]
 38%|###8      | 240/625 [02:52<05:27,  1.18it/s]
 39%|###8      | 241/625 [02:52<04:36,  1.39it/s]
 39%|###8      | 242/625 [02:53<04:00,  1.59it/s]
 39%|###8      | 243/625 [02:53<03:34,  1.78it/s]
 39%|###9      | 244/625 [02:55<04:58,  1.28it/s]
 39%|###9      | 245/625 [02:55<04:19,  1.46it/s]
 39%|###9      | 246/625 [02:55<03:42,  1.70it/s]
 40%|###9      | 247/625 [02:56<03:14,  1.95it/s]
 40%|###9      | 248/625 [02:57<05:25,  1.16it/s]
 40%|###9      | 249/625 [02:58<04:22,  1.43it/s]
 40%|####      | 250/625 [02:58<03:38,  1.72it/s]
 40%|####      | 251/625 [02:58<03:17,  1.89it/s]
 40%|####      | 252/625 [03:00<05:12,  1.20it/s]
 40%|####      | 253/625 [03:00<04:19,  1.43it/s]
 41%|####      | 254/625 [03:01<03:52,  1.60it/s]
 41%|####      | 255/625 [03:01<03:28,  1.77it/s]
 41%|####      | 256/625 [03:03<05:07,  1.20it/s]
 41%|####1     | 257/625 [03:03<04:22,  1.40it/s]
 41%|####1     | 258/625 [03:04<03:49,  1.60it/s]
 41%|####1     | 259/625 [03:04<03:17,  1.86it/s]
 42%|####1     | 260/625 [03:05<05:13,  1.16it/s]
 42%|####1     | 261/625 [03:06<04:20,  1.40it/s]
 42%|####1     | 262/625 [03:06<03:35,  1.69it/s]
 42%|####2     | 263/625 [03:06<03:05,  1.95it/s]
 42%|####2     | 264/625 [03:08<04:46,  1.26it/s]
 42%|####2     | 265/625 [03:08<03:59,  1.50it/s]
 43%|####2     | 266/625 [03:09<03:21,  1.78it/s]
 43%|####2     | 267/625 [03:09<02:59,  1.99it/s]
 43%|####2     | 268/625 [03:11<05:37,  1.06it/s]
 43%|####3     | 269/625 [03:11<04:45,  1.25it/s]
 43%|####3     | 270/625 [03:12<04:01,  1.47it/s]
 43%|####3     | 271/625 [03:12<03:27,  1.71it/s]
 44%|####3     | 272/625 [03:13<04:09,  1.42it/s]
 44%|####3     | 273/625 [03:14<03:30,  1.67it/s]
 44%|####3     | 274/625 [03:14<03:11,  1.83it/s]
 44%|####4     | 275/625 [03:14<02:53,  2.02it/s]
 44%|####4     | 276/625 [03:16<05:26,  1.07it/s]
 44%|####4     | 277/625 [03:17<04:26,  1.30it/s]
 44%|####4     | 278/625 [03:17<03:45,  1.54it/s]
 45%|####4     | 279/625 [03:17<03:24,  1.69it/s]
 45%|####4     | 280/625 [03:19<04:16,  1.35it/s]
 45%|####4     | 281/625 [03:19<03:37,  1.58it/s]
 45%|####5     | 282/625 [03:19<03:14,  1.76it/s]
 45%|####5     | 283/625 [03:20<02:58,  1.91it/s]
 45%|####5     | 284/625 [03:22<05:01,  1.13it/s]
 46%|####5     | 285/625 [03:22<04:14,  1.34it/s]
 46%|####5     | 286/625 [03:22<03:39,  1.55it/s]
 46%|####5     | 287/625 [03:23<03:10,  1.78it/s]
 46%|####6     | 288/625 [03:24<04:09,  1.35it/s]
 46%|####6     | 289/625 [03:24<03:37,  1.55it/s]
 46%|####6     | 290/625 [03:25<03:06,  1.80it/s]
 47%|####6     | 291/625 [03:25<02:48,  1.99it/s]
 47%|####6     | 292/625 [03:27<04:51,  1.14it/s]
 47%|####6     | 293/625 [03:27<03:55,  1.41it/s]
 47%|####7     | 294/625 [03:27<03:14,  1.70it/s]
 47%|####7     | 295/625 [03:28<02:51,  1.92it/s]
 47%|####7     | 296/625 [03:29<04:10,  1.31it/s]
 48%|####7     | 297/625 [03:29<03:31,  1.55it/s]
 48%|####7     | 298/625 [03:30<03:26,  1.58it/s]
 48%|####7     | 299/625 [03:31<03:07,  1.74it/s]
 48%|####8     | 300/625 [03:32<05:04,  1.07it/s]INFO:root:Step: 300. Epoch: 1/50. Iteration: 301/625. Cls loss: 1095.508. Reg loss: 2.557. Seg loss: 2.175. Total loss: 1100.240

 48%|####8     | 301/625 [03:33<04:12,  1.28it/s]
 48%|####8     | 302/625 [03:33<03:27,  1.56it/s]
 48%|####8     | 303/625 [03:33<02:56,  1.82it/s]
 49%|####8     | 304/625 [03:34<03:29,  1.53it/s]
 49%|####8     | 305/625 [03:35<03:08,  1.70it/s]
 49%|####8     | 306/625 [03:35<02:51,  1.86it/s]
 49%|####9     | 307/625 [03:35<02:28,  2.14it/s]
 49%|####9     | 308/625 [03:38<05:13,  1.01it/s]
 49%|####9     | 309/625 [03:38<04:11,  1.26it/s]
 50%|####9     | 310/625 [03:38<03:36,  1.45it/s]
 50%|####9     | 311/625 [03:39<03:10,  1.65it/s]
 50%|####9     | 312/625 [03:39<03:09,  1.65it/s]
 50%|#####     | 313/625 [03:40<02:46,  1.87it/s]
 50%|#####     | 314/625 [03:40<02:34,  2.02it/s]
 50%|#####     | 315/625 [03:41<02:47,  1.85it/s]
 51%|#####     | 316/625 [03:43<05:30,  1.07s/it]
 51%|#####     | 317/625 [03:44<04:26,  1.16it/s]
 51%|#####     | 318/625 [03:44<03:38,  1.41it/s]
 51%|#####1    | 319/625 [03:44<03:04,  1.66it/s]
 51%|#####1    | 320/625 [03:45<02:49,  1.80it/s]
 51%|#####1    | 321/625 [03:45<02:39,  1.91it/s]
 52%|#####1    | 322/625 [03:46<02:25,  2.09it/s]
 52%|#####1    | 323/625 [03:46<02:31,  1.99it/s]
 52%|#####1    | 324/625 [03:48<05:13,  1.04s/it]
 52%|#####2    | 325/625 [03:49<04:14,  1.18it/s]
 52%|#####2    | 326/625 [03:49<03:37,  1.38it/s]
 52%|#####2    | 327/625 [03:50<03:07,  1.59it/s]
